"","YEAR","TEAM","SEED","KADJ_O","KADJ_D","BARTHAG","WIN_","FTR","TOV_","TOV_D","OREB_","DREB_","X3PT_","X3PT_D","AST_","EXP","ELITE_SOS","WINS","POWER","PATH"
"332",2013,"Wisconsin",5,108.829,85.8206,0.937,67.64706,29.9,15.6,18,32.6,73.3,33.4,29.2,56.3,1.822,37.133,0,78.6,70.9
"333",2013,"Wichita St.",9,109.966,92.5764,0.867,76.47059,35.8,19.8,20.4,38,74.7,33.7,33,56.1,1.983,22.177,4,68.7,81.1
"334",2013,"Western Kentucky",16,101.798,102.763,0.468,55.88235,37.9,22.4,20.7,34.8,68.9,33.2,32.8,48.4,1.539,14.863,0,50,86.1
"335",2013,"Villanova",9,106.057,92.4411,0.835,59.375,51.3,22.9,21.9,32.8,70.3,33.7,36.8,58,1.331,32.168,0,60.5,78.4
"336",2013,"VCU",5,113.747,94.4178,0.917,76.47059,30.6,17.1,28.6,37,65.3,35.2,33.6,52.5,1.728,22.954,1,70.8,73.3
"337",2013,"Valparaiso",14,111.066,99.147,0.756,78.125,42.3,22,19.2,31.6,72.7,37.5,33.6,57.2,2.728,13.999,0,60.8,79.5
"338",2013,"UNLV",5,106.858,89.633,0.877,72.72727,36.5,20.3,18.6,33.5,72.8,32.7,31.3,64.2,1.466,24.074,0,72.5,72.3
"339",2013,"UCLA",6,111.467,96.3046,0.856,73.52941,32.9,15.7,20,30.2,66,33.9,31.9,58.3,1.151,26.831,0,70.3,77.1
"340",2013,"Temple",9,111.464,99.5026,0.8,71.875,35.5,16.2,20.2,31.2,68.1,33.4,35.5,59.1,2.384,24.902,1,60.3,80.4
"341",2013,"Syracuse",4,114.546,91.9806,0.935,74.28571,35.3,19.1,23.4,39.8,65.6,33.4,29.8,56.6,1.746,31.803,4,84.2,66.4
"342",2013,"Southern",16,99.0012,99.294,0.459,68.96552,40.3,16.8,20.3,26.7,68.9,36.4,29.6,47.5,2.374,8.266,0,52.2,86.9
"343",2013,"South Dakota St.",13,112.586,105.42,0.651,70.96774,33.5,16.3,17.1,29,74,39.4,35.5,54.9,2.194,13.855,0,57.7,82.4
"344",2013,"San Diego St.",7,107.707,89.1276,0.88,66.66667,36,17.9,18.3,31.5,72,32.4,31.9,49.6,1.862,25.928,1,72.6,70.6
"345",2013,"Saint Mary's",11,116.686,97.7603,0.881,81.25,36.9,18.4,17.8,37.2,75,37.3,36.9,55.6,2.03,19.997,0,70.7,75.7
"346",2013,"Saint Louis",4,108.951,88.6822,0.906,81.81818,44.7,17.6,23.4,28.1,71.7,34.7,32.8,55.7,2.237,21.79,1,73,68.4
"347",2013,"Pittsburgh",8,116.301,91.1994,0.929,75,37.5,17.9,22.2,40.8,70.2,36,31.2,64.7,1.684,27.112,0,79.4,75.1
"348",2013,"Pacific",15,106.871,101.331,0.628,62.5,38.2,17.7,20.1,29.4,69.4,39.1,34.7,61.8,2.518,15.835,0,53.5,78
"349",2013,"Oregon",12,105.529,90.6673,0.851,76.47059,39,21.3,22.3,36.1,72.2,32.3,34.3,51,1.899,23.326,2,64.5,71.5
"350",2013,"Oklahoma St.",5,109.664,90.2456,0.908,75,40.8,18.1,21.5,31.8,69.3,31.6,32.2,48.7,1.02,26.462,0,69.9,70.6
"351",2013,"Oklahoma",10,111.409,97.0916,0.835,64.51613,36.1,17.6,19.7,33.6,68.6,32.6,32.7,49.2,1.87,27.937,0,63.2,74.8
"352",2013,"Ohio St.",2,114.487,89.3191,0.94,78.78788,34.2,16.6,20.7,32.2,72.4,35.1,32,53.2,1.639,34.432,3,83.1,67.4
"353",2013,"Notre Dame",7,115.515,98.0769,0.88,73.52941,32.2,17.4,16.2,34.1,70.2,37.3,32.2,66.4,1.938,29.503,0,69.5,72.7
"354",2013,"Northwestern St.",14,106.886,103.699,0.583,70.37037,40.8,19,22,35.3,63,31.4,34,53.3,2.009,12.973,0,53.5,87.2
"355",2013,"North Carolina St.",8,116.772,99.3673,0.869,70.58824,41.2,17.9,16.9,34.9,67,39.3,29.9,52,1.692,27.234,0,77,71.4
"356",2013,"North Carolina A&T",16,92.5828,97.9108,0.351,52.94118,43.2,22.5,23.6,30.2,66.6,30.2,31.8,53.1,2.33,9.659,0,46.7,89.3
"357",2013,"North Carolina",8,112.478,95.3146,0.875,69.69697,28,17.1,21.2,35.1,69.1,37,34.9,60.2,1.252,29.188,1,75.4,70.5
"358",2013,"New Mexico St.",13,105.566,96.7219,0.714,69.69697,47.9,21.8,18.7,36.4,70.2,32.6,33.8,48,1.61,14.948,0,58.6,72.5
"359",2013,"New Mexico",3,110.537,89.8302,0.864,85.29412,45.8,17.6,19.5,28.9,72.2,35.4,34.3,66.5,1.895,25.971,0,74.8,68.2
"360",2013,"Montana",13,105.569,102.857,0.536,79.31034,41.3,18.9,18.5,25.1,69.4,37.8,33.1,52.6,1.764,11.573,0,53.5,81.7
"361",2013,"Missouri",9,115.006,95.7839,0.877,69.69697,35.1,19.3,17.5,39.5,71.7,34,32.9,51.1,1.964,26.096,0,76.2,76.6
"362",2013,"Mississippi",12,112.338,95.8159,0.824,76.47059,39.3,15.8,21.7,33.8,68.1,33,31.3,46.3,1.846,21.197,1,65.8,77
"363",2013,"Minnesota",11,113.792,94.6477,0.912,62.5,41.9,21.7,20.1,44.1,67.1,32.6,33.9,61.9,1.964,34.85,1,72.7,75.1
"365",2013,"Michigan St.",3,112.662,89.423,0.922,75,36.7,20.5,19.7,35.5,71.7,34.4,30.2,53.7,1.306,37.025,2,80.3,70.5
"366",2013,"Michigan",4,120.868,95.8775,0.939,78.125,28.7,14.3,18.9,32.5,70.4,37.5,33.2,51.1,0.784,32.68,5,85.4,67.6
"367",2013,"Miami FL",2,113.044,90.7587,0.917,81.81818,35.2,16.9,18.4,30.8,72.1,35.8,32.6,45,2.369,27.681,2,79.1,65.1
"368",2013,"Memphis",6,108.62,91.9204,0.872,88.23529,37.9,20.8,22,36.2,69.4,37.9,33.5,62.4,1.761,18.445,1,73.2,74.6
"369",2013,"Marquette",3,113.994,95.3386,0.894,74.19355,41.4,21,19.9,37.8,66.8,30.1,31.8,58.6,1.991,31.449,3,73.9,67
"370",2013,"Louisville",1,114.313,83.1717,0.969,85.29412,38.8,18.7,27.6,38.4,66.3,33.1,31.2,58,1.726,31.558,6,89.5,66.4
"373",2013,"La Salle",13,110.546,97.2446,0.833,70,31.5,17.3,22,29.6,67.1,37.1,29.9,55.8,1.728,23.333,2,60.3,73.2
"374",2013,"Kansas St.",4,113.291,95.0325,0.887,78.78788,31.8,18.2,22.4,38.5,66,35.9,33.1,64.9,1.938,29.676,0,72.6,70.5
"375",2013,"Kansas",1,113.253,87.8314,0.956,85.29412,39.7,19.9,18.7,34.3,71.2,36.7,30.7,58.8,1.865,27.947,2,86.3,67.4
"376",2013,"James Madison",16,99.5556,101.23,0.451,58.82353,38.3,17.2,21.3,29.2,69.5,33.3,35,52.1,1.667,10.325,0,49.4,89.8
"377",2013,"Iowa St.",10,116.863,100.569,0.862,66.66667,33.1,18.6,18.5,34.6,71.1,37,30.7,57.9,2.282,27.483,1,66.5,73.2
"378",2013,"Iona",15,114.644,106.791,0.716,60.60606,32.7,16.9,19.5,32.8,66.6,37.3,37.3,54.7,2.016,15.075,0,56,81.9
"379",2013,"Indiana",1,122.482,92.5582,0.972,81.81818,46,19.1,21.2,39.7,68.5,41.1,30.6,54.1,1.679,32.801,2,90,66.3
"380",2013,"Illinois",7,110.496,95.3564,0.86,62.5,31.2,17.6,21.9,33.4,66.8,32.1,34.2,42.9,2.178,36.349,1,65.2,70.2
"381",2013,"Harvard",14,108.139,101.233,0.659,66.66667,50.4,21.1,21.1,26.1,68.5,40.1,32.7,57.6,1.292,17.558,1,55.8,74.6
"382",2013,"Gonzaga",1,120.831,91.8845,0.961,93.75,41,17.1,20.9,37.4,69.8,36.4,31.8,54.3,1.767,22.395,1,87,68.5
"383",2013,"Georgetown",2,107.747,85.5846,0.936,80.64516,37,20.1,22.6,30.6,68.7,35.8,30.5,64.4,1.213,31.664,0,78.6,68.4
"384",2013,"Florida Gulf Coast",15,103.304,99.9512,0.627,68.75,34.5,20.9,22.4,33.2,67.3,33.1,31.5,52.3,1.657,14.203,2,54,78
"385",2013,"Florida",3,118.162,86.1792,0.975,78.78788,29.1,17.7,22.4,34,71.4,38,30.1,56.5,2.172,24.664,3,88.9,66.4
"386",2013,"Duke",2,119.646,92.9223,0.95,84.375,37.7,15.6,20.9,29.4,67.1,40.6,29.3,53.7,1.785,29.848,3,85.8,67.3
"387",2013,"Davidson",14,112.441,101.27,0.775,78.125,38.7,17,18.9,29.2,72.1,36.6,32.3,56,2.27,13.113,0,60.4,73.1
"388",2013,"Creighton",7,119.389,97.1644,0.919,79.41176,33.6,18.8,16.2,29.2,73,42.1,31.3,64.4,1.914,22.691,1,74.1,74.4
"389",2013,"Colorado St.",8,118.136,97.9562,0.877,74.19355,43.3,16.7,16.9,41.8,76.7,33.4,33.9,51.5,2.496,23.522,1,71.6,80
"390",2013,"Colorado",10,107.269,92.4737,0.85,65.625,41.4,19.9,19.4,33.9,69.5,34.7,32.3,42.3,1.163,29.032,0,64.5,69.2
"391",2013,"Cincinnati",10,105.794,90.2087,0.884,66.66667,36.2,19.5,20.1,38.8,70.1,31.7,30,52.7,2.206,29.557,0,67.6,76.9
"392",2013,"California",12,107.434,94.7044,0.798,64.51613,31.3,18.8,16.6,32.8,69.4,30.4,33.6,55.5,1.698,27.791,1,63.7,75
"393",2013,"Butler",6,110.071,95.2626,0.856,75.75758,38.1,20.5,17.3,36.2,74,34.3,33.1,53.8,1.706,29.694,1,65.5,69
"394",2013,"Bucknell",11,107.882,94.4384,0.808,84.375,36.6,15.1,14.3,29.6,75.8,36,30.9,55.8,2.186,13.42,0,64.9,69.1
"396",2013,"Belmont",11,111.598,95.8476,0.83,80,32.4,19.8,25,30.4,66.1,37.6,32.9,57.2,2.311,15.327,0,65.6,76.6
"397",2013,"Arizona",6,114.263,93.7326,0.91,78.125,37.4,19.5,20.5,35.4,72.8,36.3,36,55.3,1.621,26.545,2,77.6,69.9
"398",2013,"Albany",15,102.346,101.191,0.543,70.58824,40.3,21.2,19.9,31.7,71.7,36.4,33.1,51.2,2.227,11.678,0,50.7,84.7
"399",2013,"Akron",12,107.801,94.0583,0.793,80.64516,36.8,20.4,20.5,37.8,69.8,33.2,32.2,58.2,1.73,14.733,0,65.3,74.2
"401",2014,"Wofford",15,100.924,102.947,0.413,58.62069,33.9,16.4,19.7,31.2,70.9,35.9,32.5,51.1,1.295,12.999,0,50.3,81
"402",2014,"Wisconsin",2,120.678,96.8522,0.936,78.78788,44.1,12.6,15.6,27.9,72.3,37.3,34.3,50.1,1.682,32.853,4,78,67.9
